"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Nov 13 22:35:46 EET 2022","Sun Nov 13 22:35:46 EET 2022","0","","UIControls Test Suite","","UIControls Test Suite","Login successfully","Login successfully",""
"failed","Sun Nov 13 22:38:50 EET 2022","Sun Nov 13 22:39:01 EET 2022","10639","","Functional Testing","","Functional Testing","Web table Filter validation","Web table Filter validation",""
"passed","Sun Nov 13 22:38:47 EET 2022","Sun Nov 13 22:38:50 EET 2022","3394","","Functional Testing","","Functional Testing","Web table sort validation Smoke","Web table sort validation Smoke",""
"passed","Sun Nov 13 22:35:46 EET 2022","Sun Nov 13 22:36:15 EET 2022","29628","","Ecommerce App","","Ecommerce App","E2E eCommerce","E2E eCommerce",""
"skipped","Sun Nov 13 22:35:45 EET 2022","Sun Nov 13 22:35:45 EET 2022","0","","Windows Frames","","Windows Frames","parent and chils switch","parent and chils switch",""
"skipped","Sun Nov 13 22:38:47 EET 2022","Sun Nov 13 22:38:47 EET 2022","1","","Functional Testing","","Functional Testing","Scrolling and mouse hover","Scrolling and mouse hover",""
"passed","Sun Nov 13 22:35:45 EET 2022","Sun Nov 13 22:36:07 EET 2022","21054","","ECommerce App","","ECommerce App","E2E eCommerce","E2E eCommerce",""
"broken","Sun Nov 13 22:35:45 EET 2022","Sun Nov 13 22:36:45 EET 2022","60016","","Windows Frames","","Windows Frames","Frames","Frames",""
"passed","Sun Nov 13 21:59:50 EET 2022","Sun Nov 13 22:00:03 EET 2022","12820","","Ecommerce Application","","Ecommerce Application","End to End Test","End to End Test",""
"skipped","Sun Nov 13 22:35:46 EET 2022","Sun Nov 13 22:35:46 EET 2022","0","","Ecommerce App","","Ecommerce App","Login Invalid","Login Invalid",""
"broken","Sun Nov 13 22:35:46 EET 2022","Sun Nov 13 22:36:46 EET 2022","60016","","UIControls Test Suite","","UIControls Test Suite","Dynamic dropdown Smoke","Dynamic dropdown Smoke",""
"passed","Sun Nov 13 22:36:46 EET 2022","Sun Nov 13 22:37:36 EET 2022","49880","","UIControls Test Suite","","UIControls Test Suite","Dynamic dropdown sanity","Dynamic dropdown sanity",""
